City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lodi city,"62,253","62,741","63,048","63,128","63,620","64,264","64,578","65,715","67,003","67,586","66,443","67,023","67,258"
Loma Linda city,"23,368","23,533","23,632","23,691","23,749","23,952","24,091","24,132","24,331","24,482","24,828","25,096","25,129"
Lomita city,"20,263","20,364","20,490","20,597","20,619","20,659","20,629","20,576","20,448","20,320","20,849","20,405","20,053"
Lompoc city,"42,322","42,188","43,075","43,384","43,870","43,916","43,537","43,274","42,689","42,853","44,403","43,278","43,736"
Long Beach city,"462,431","464,512","466,873","468,000","469,109","470,128","468,719","466,646","465,865","462,628","465,448","454,334","451,307"
Loomis town,"6,435","6,524","6,579","6,640","6,687","6,691","6,747","6,793","6,819","6,866","6,833","6,871","6,856"
Los Alamitos city,"11,391","11,492","11,560","11,597","11,631","11,621","11,587","11,526","11,458","11,399","11,771","11,696","11,550"
Los Altos city,"29,091","29,473","29,813","30,014","30,277","30,667","30,728","30,677","30,456","30,089","31,353","30,554","30,424"
Los Altos Hills town,"8,069","8,148","8,264","8,345","8,440","8,468","8,564","8,561","8,530","8,423","8,490","8,294","8,168"
Los Angeles city,"3,795,512","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576","3,895,836","3,837,986","3,822,238"
Los Banos city,"36,070","36,367","36,495","36,608","36,820","37,151","37,461","38,933","39,960","41,036","45,675","46,688","47,044"
Los Gatos town,"29,792","30,123","30,443","30,722","30,976","30,970","30,984","30,914","30,599","30,222","33,427","32,582","32,402"
Loyalton city,761,732,722,714,701,704,696,707,702,702,738,755,738
Lynwood city,"69,595","69,661","70,576","71,146","71,193","71,397","70,979","70,685","70,285","69,887","66,815","64,824","64,086"
McFarland city,"12,723","12,784","12,362","12,430","13,577","13,941","14,484","14,996","15,139","15,506","13,992","14,086","14,019"
Madera city,"61,603","61,907","62,382","62,749","63,230","63,690","64,187","64,941","65,440","65,860","66,461","67,865","68,050"
Malibu city,"12,639","12,691","12,750","12,807","12,839","12,865","12,853","12,817","12,757","11,820","10,617","10,416","10,370"
Mammoth Lakes town,"8,231","8,284","8,226","8,058","8,086","8,045","8,158","8,182","8,220","8,235","7,222","7,277","7,093"
Manhattan Beach city,"35,123","35,232","35,345","35,426","35,461","35,504","35,608","35,702","35,418","35,183","35,377","34,601","34,137"
Manteca city,"67,733","69,244","70,884","71,761","73,157","75,088","76,831","79,079","81,603","83,028","83,834","85,716","86,928"
Maricopa city,"1,155","1,162","1,170","1,178","1,185","1,187","1,187","1,191","1,194","1,192","1,023","1,023","1,020"
Marina city,"19,743","19,876","20,149","20,269","20,680","21,071","21,622","21,986","22,456","22,781","22,322","22,115","22,503"
Martinez city,"36,157","36,502","36,825","37,119","37,473","38,050","38,325","38,411","38,406","38,297","37,187","36,871","36,447"
Marysville city,"12,094","12,097","12,113","12,154","12,165","12,154","12,193","12,351","12,452","12,476","12,854","12,715","12,704"
Maywood city,"27,381","27,474","27,543","27,614","27,628","27,636","27,536","27,406","27,196","26,973","25,040","24,522","24,122"
Mendota city,"11,332","11,501","11,519","11,512","11,505","11,526","11,541","11,543","11,526","11,511","12,647","12,734","12,618"
Menifee city,"77,929","79,665","81,026","83,045","84,522","86,411","88,057","90,104","92,249","94,756","103,158","106,365","109,399"
Menlo Park city,"32,080","32,450","32,821","33,013","33,211","33,389","33,970","34,184","34,500","34,698","33,669","32,549","32,295"
Merced city,"79,131","79,705","80,231","80,703","81,120","81,775","82,232","82,589","83,113","83,676","86,648","89,515","91,563"
Millbrae city,"21,572","21,847","22,123","22,480","22,669","22,803","22,764","22,649","22,530","22,394","23,128","22,317","22,071"
Mill Valley city,"13,921","14,064","14,157","14,307","14,379","14,377","14,351","14,287","14,296","14,259","14,211","14,157","14,006"
Milpitas city,"66,729","67,124","68,862","69,944","73,560","77,485","77,829","77,874","80,208","84,196","80,127","78,218","77,738"
Mission Viejo city,"93,225","94,020","94,627","96,003","96,622","96,543","96,149","95,551","94,925","94,381","93,464","92,436","91,776"
Modesto city,"203,301","204,017","205,040","206,075","207,652","209,245","211,231","213,000","214,389","215,196","218,654","218,948","218,069"
Monrovia city,"36,599","36,744","36,859","36,992","37,066","37,153","37,019","36,846","36,592","36,331","37,833","37,456","36,893"
Montague city,"1,444","1,431","1,411","1,395","1,388","1,388","1,388","1,396","1,394","1,398","1,216","1,223","1,209"
Montclair city,"36,743","37,279","37,440","37,923","38,212","38,447","38,784","39,124","39,324","40,083","37,904","38,040","37,714"
Montebello city,"62,490","62,903","63,123","63,279","63,322","63,379","63,134","62,823","62,440","61,954","62,410","61,125","60,569"
Monterey city,"27,908","28,246","28,750","28,600","28,549","28,496","28,568","28,411","28,170","28,178","30,184","29,952","29,571"
Monterey Park city,"60,218","60,460","60,645","60,796","60,832","60,908","60,830","60,668","60,198","59,669","60,891","59,586","58,554"
Monte Sereno city,"3,331","3,360","3,401","3,442","3,473","3,489","3,511","3,514","3,480","3,427","3,471","3,389","3,343"
Moorpark city,"34,644","34,906","35,010","35,136","35,474","36,000","36,444","36,561","36,438","36,375","36,228","35,974","35,514"
Moraga town,"16,057","16,308","16,476","16,753","16,993","17,220","17,441","17,600","17,693","17,783","16,868","16,834","16,707"
Moreno Valley city,"194,240","196,590","198,214","200,195","201,831","202,919","204,711","206,741","208,889","213,055","209,107","211,564","211,924"
Morgan Hill city,"38,071","38,840","39,490","41,028","42,074","42,991","44,430","44,961","45,084","45,952","45,492","45,386","44,973"
Morro Bay city,"10,244","10,281","10,365","10,447","10,498","10,578","10,612","10,603","10,559","10,543","10,751","10,785","10,696"
Mountain View city,"74,236","75,108","76,507","77,955","79,150","80,345","80,821","81,189","83,168","82,739","82,430","81,675","81,059"
Mount Shasta city,"3,390","3,352","3,311","3,263","3,271","3,274","3,270","3,286","3,277","3,274","3,219","3,236","3,192"
Murrieta city,"104,229","105,370","106,509","107,361","108,037","109,372","111,492","112,995","114,715","116,223","111,318","113,006","113,783"
Napa city,"77,185","77,679","78,168","78,728","79,384","79,636","79,616","79,083","78,946","78,130","79,039","78,855","78,315"
National City city,"58,624","59,042","59,369","59,776","60,132","60,721","60,967","61,083","61,272","61,394","56,115","55,927","55,550"
Needles city,"4,836","4,875","4,896","4,908","4,928","4,949","4,967","4,987","4,977","4,976","4,921","4,897","4,858"
Nevada City city,"3,080","3,103","3,095","3,095","3,070","3,153","3,145","3,136","3,139","3,148","3,147","3,172","3,112"
Newark city,"42,628","43,019","43,533","44,078","44,640","45,236","45,872","47,429","48,185","49,149","47,612","47,134","47,312"
Newman city,"10,273","10,527","10,580","10,629","10,711","10,840","11,065","11,288","11,611","11,784","12,387","12,367","12,272"
Newport Beach city,"85,329","86,073","86,522","86,877","86,688","86,585","86,510","85,740","85,074","84,534","85,208","84,713","83,993"
Norco city,"27,240","27,366","27,457","27,033","26,998","26,307","26,807","26,861","26,791","26,604","25,394","24,671","25,042"
Norwalk city,"105,544","105,903","105,976","106,122","106,189","106,237","105,844","105,466","104,798","103,949","102,410","100,313","98,537"
Novato city,"51,970","52,680","53,221","54,142","54,856","55,406","55,913","55,701","55,640","55,516","53,100","52,904","52,184"
Oakdale city,"20,823","20,949","21,224","21,457","21,764","22,125","22,573","23,026","23,395","23,596","23,201","23,247","23,176"
Oakland city,"391,406","396,086","401,104","406,648","412,901","418,211","420,947","424,382","429,056","433,031","440,873","436,291","430,553"
Oakley city,"35,666","36,596","37,177","38,142","39,118","39,708","40,665","41,618","42,121","42,543","43,468","43,821","44,688"
Oceanside city,"168,079","170,008","171,590","173,175","174,318","175,189","175,451","175,884","175,758","175,742","173,914","172,919","172,199"
Ojai city,"7,482","7,515","7,540","7,573","7,593","7,593","7,573","7,545","7,480","7,470","7,622","7,604","7,540"
Ontario city,"164,377","165,756","166,630","167,096","168,097","170,210","172,561","175,334","180,718","185,010","175,852","177,845","179,061"
Orange city,"137,103","138,539","139,372","139,972","139,424","140,503","140,581","140,251","139,449","138,669","139,428","137,295","136,178"
Orange Cove city,"9,750","10,190","10,205","10,215","10,220","10,258","10,272","10,293","10,286","10,273","9,639","9,615","9,525"
Orinda city,"17,820","18,124","18,333","18,674","18,973","19,251","19,521","19,707","19,821","19,926","19,516","19,503","19,355"
Orland city,"7,384","7,452","7,397","7,442","7,486","7,489","7,523","7,622","7,635","7,827","8,302","8,311","8,217"
Oroville city,"18,700","18,604","18,640","18,750","18,945","18,956","18,996","19,103","19,130","20,737","19,958","19,935","20,041"
Oxnard city,"198,539","199,968","201,105","202,835","204,560","206,228","207,455","208,831","209,271","208,881","202,244","202,054","200,415"
Pacifica city,"37,394","37,844","38,335","38,722","39,074","39,309","39,267","38,999","38,754","38,546","38,496","37,155","36,517"
Pacific Grove city,"15,081","15,214","15,355","15,435","15,495","15,551","15,585","15,575","15,487","15,413","15,075","15,000","14,791"
Palmdale city,"152,936","153,996","154,861","156,495","156,770","156,988","156,739","156,558","156,158","155,079","168,863","165,452","163,463"
Palm Desert city,"48,684","49,251","49,775","50,357","50,916","51,552","52,077","52,794","53,129","53,275","51,200","51,591","51,583"
Palm Springs city,"44,781","45,225","45,716","46,158","46,634","47,111","47,577","48,048","48,355","48,518","44,624","45,079","45,223"
Palo Alto city,"64,535","65,345","66,089","66,613","66,848","66,782","67,353","66,960","66,258","65,364","68,385","66,735","66,010"
Palos Verdes Estates city,"13,435","13,480","13,508","13,541","13,548","13,555","13,536","13,462","13,360","13,273","13,309","13,026","12,792"
Paradise town,"26,198","26,085","26,165","26,245","26,353","26,378","26,482","26,629","26,711","4,476","4,744","5,274","6,516"
Paramount city,"54,104","54,329","54,580","54,854","54,914","54,971","54,789","54,621","54,259","53,955","53,578","52,485","51,653"
Parlier city,"14,614","14,703","14,789","14,882","14,991","15,141","15,213","15,283","15,342","15,618","14,616","14,689","14,554"
Pasadena city,"137,111","137,652","138,097","139,292","139,529","141,025","141,601","141,757","140,906","141,029","138,304","135,932","134,211"
Patterson city,"20,647","20,719","20,827","20,985","21,270","21,509","21,824","22,125","22,345","22,524","23,788","23,813","23,833"
Perris city,"69,000","70,426","71,229","72,295","73,485","74,613","76,046","77,563","78,903","79,291","78,861","79,825","80,263"
Petaluma city,"58,037","58,236","58,728","59,337","59,753","60,295","60,468","60,682","61,826","60,520","59,776","59,589","58,652"
Pico Rivera city,"62,960","63,221","63,430","63,597","63,637","63,670","63,438","63,133","62,677","62,027","61,890","60,696","59,781"
Piedmont city,"10,711","10,815","10,946","11,085","11,228","11,361","11,401","11,368","11,251","11,135","11,251","11,017","10,811"
Pinole city,"18,377","18,528","18,701","18,880","19,057","19,232","19,330","19,333","19,325","19,250","19,003","18,858","18,582"
Pismo Beach city,"7,667","7,696","7,781","7,856","7,900","8,117","8,180","8,220","8,206","8,168","8,059","8,041","8,044"
Pittsburg city,"63,522","64,546","65,523","66,646","67,974","69,260","70,798","72,000","72,450","72,588","76,605","76,662","77,572"
Placentia city,"50,994","51,503","51,838","52,105","52,108","52,202","52,154","51,916","51,538","51,233","51,723","51,236","51,951"
Placerville city,"10,479","10,436","10,445","10,562","10,674","10,762","10,810","11,020","11,064","11,175","10,732","10,816","10,664"
Pleasant Hill city,"33,155","33,420","33,735","34,062","34,385","34,700","34,883","34,903","34,889","34,839","34,600","34,404","33,913"
Pleasanton city,"70,381","71,133","72,098","74,026","77,454","79,265","82,330","82,831","82,357","81,777","79,676","77,904","76,689"
Plymouth city,985,979,971,968,965,973,985,995,"1,036","1,076","1,079","1,099","1,112"
Point Arena city,449,447,448,446,448,448,448,449,452,449,466,472,465
Pomona city,"149,107","149,693","150,453","151,072","152,225","152,407","152,445","152,468","151,925","151,691","151,033","147,125","146,017"
Porterville city,"58,197","58,540","58,708","58,891","58,995","59,721","59,699","59,745","59,685","59,599","62,666","62,788","62,998"
Port Hueneme city,"21,726","21,755","21,823","22,114","22,049","22,334","22,243","22,217","22,117","21,926","21,960","21,735","21,407"
Portola city,"2,093","2,060","2,014","1,961","1,929","1,906","1,927","1,922","1,928","1,930","2,094","2,108","2,041"
Portola Valley town,"4,359","4,410","4,466","4,514","4,572","4,603","4,612","4,596","4,591","4,568","4,441","4,296","4,244"
Poway city,"47,951","48,622","48,997","49,377","49,649","49,877","49,915","49,802","49,576","49,323","48,779","48,408","48,078"
Rancho Cordova city,"65,067","65,970","66,725","67,722","69,389","70,640","72,162","73,398","74,478","75,087","79,503","80,210","80,598"
Rancho Cucamonga city,"166,226","167,928","169,959","170,815","173,220","174,203","175,782","176,921","177,345","177,603","174,571","175,169","176,336"
Rancho Mirage city,"17,218","17,358","17,474","17,607","17,761","17,886","18,053","18,225","18,305","18,528","17,044","17,339","17,633"
Rancho Palos Verdes city,"41,692","42,027","42,202","42,326","42,368","42,401","42,303","42,136","41,821","41,530","42,140","41,256","40,527"
Rancho Santa Margarita city,"47,918","48,331","48,588","49,038","49,069","49,027","48,828","48,566","48,197","47,896","47,873","47,340","46,722"
Red Bluff city,"14,086","14,060","14,056","14,022","13,987","14,097","14,167","14,265","14,303","14,539","14,666","14,575","14,416"
Redding city,"89,895","90,180","90,397","90,773","91,120","90,963","91,203","91,525","91,606","92,590","93,479","93,422","92,906"
Redlands city,"68,807","69,320","69,637","69,800","70,209","70,625","71,027","71,342","71,416","71,513","73,257","73,538","73,849"
Redondo Beach city,"66,933","67,192","67,438","67,629","67,673","67,771","67,809","67,511","67,206","66,749","71,333","69,898","68,918"
Redwood City city,"77,010","77,970","79,188","81,034","82,741","85,274","85,293","86,394","86,105","85,925","84,131","81,522","80,512"
Reedley city,"24,414","24,768","24,848","25,002","25,395","25,541","25,583","25,602","25,607","25,658","25,221","25,174","25,441"
Rialto city,"99,329","100,563","101,278","101,547","102,031","102,485","102,896","103,234","103,232","103,526","104,125","104,305","103,545"
Richmond city,"103,631","104,882","106,023","107,083","107,921","109,062","109,663","109,860","110,189","110,567","116,367","115,731","114,301"
Ridgecrest city,"27,684","27,904","28,275","28,569","28,591","28,616","28,604","28,699","28,851","28,973","27,982","28,150","28,346"
Rio Dell city,"3,372","3,394","3,364","3,365","3,364","3,368","3,399","3,399","3,381","3,349","3,374","3,388","3,358"
Rio Vista city,"7,383","7,443","7,549","7,712","8,005","8,280","8,598","8,952","9,206","9,718","10,105","10,246","10,375"
Ripon city,"14,453","14,603","14,724","14,803","14,998","15,185","15,551","15,754","16,018","16,386","16,074","16,424","16,272"
Riverbank city,"22,762","23,102","23,225","23,400","23,606","23,879","24,271","24,585","24,700","24,881","24,872","24,858","24,826"
Riverside city,"305,466","309,472","312,323","315,510","317,702","320,483","323,684","326,882","329,654","331,360","315,469","313,912","320,764"
Rocklin city,"57,474","58,426","58,962","59,613","60,060","60,908","62,605","64,654","67,065","68,823","71,861","73,082","73,857"
Rohnert Park city,"40,855","40,990","41,070","41,325","42,104","42,293","42,570","42,697","43,676","43,291","44,436","44,573","44,326"
Rolling Hills city,"1,860","1,867","1,878","1,885","1,884","1,882","1,880","1,871","1,861","1,845","1,734","1,699","1,676"
Rolling Hills Estates city,"8,062","8,098","8,145","8,183","8,193","8,211","8,203","8,176","8,114","8,058","8,263","8,146","8,018"
Rosemead city,"53,795","54,022","54,215","54,398","54,429","54,440","54,332","54,221","54,226","54,058","51,082","50,221","49,791"
Roseville city,"119,916","122,725","124,432","126,769","128,397","130,018","132,708","135,077","138,953","141,500","148,486","152,095","154,817"
Ross town,"2,423","2,442","2,452","2,473","2,485","2,482","2,472","2,464","2,457","2,451","2,342","2,339","2,300"
Sacramento city,"467,286","470,902","474,226","478,214","482,762","488,133","494,127","500,777","507,737","513,624","525,668","525,951","528,001"
St. Helena city,"5,824","5,859","5,882","5,921","5,946","6,026","6,103","6,152","6,142","6,102","5,425","5,391","5,196"
Salinas city,"150,887","152,412","153,815","154,958","155,717","156,244","156,830","156,463","155,647","155,465","163,296","163,076","161,020"
San Anselmo town,"12,320","12,418","12,472","12,586","12,623","12,608","12,572","12,523","12,522","12,476","12,804","12,747","12,569"
San Bernardino city,"210,637","212,159","213,161","213,789","214,222","215,325","216,036","216,902","216,323","215,784","222,028","221,242","220,328"
San Bruno city,"41,145","41,558","42,126","42,593","42,992","43,243","43,196","43,207","43,043","42,807","43,783","42,349","41,533"
San Buenaventura (Ventura) city,"107,435","108,306","109,002","109,339","109,535","109,668","109,893","110,093","110,731","109,106","110,518","110,027","109,527"
San Carlos city,"28,417","28,750","29,122","29,426","29,723","29,901","29,894","30,393","30,331","30,185","30,793","30,079","29,586"
San Clemente city,"63,605","64,255","64,612","64,845","64,947","65,142","65,185","64,973","64,699","64,558","64,257","63,842","63,457"
Sand City city,335,337,340,343,377,378,381,384,396,399,323,330,328
San Diego city,"1,305,906","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851","1,386,872","1,374,484","1,381,162"
San Dimas city,"33,377","33,509","33,637","33,745","34,319","34,344","34,236","34,128","33,881","33,621","34,804","34,086","33,535"
San Fernando city,"23,643","23,742","23,777","24,088","24,399","24,708","24,630","24,562","24,437","24,322","23,970","23,757","23,685"
San Francisco city,"805,505","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549","870,393","811,253","808,437"
San Gabriel city,"39,647","39,810","39,944","40,033","40,053","40,089","40,276","40,262","40,197","39,899","39,449","38,676","38,140"
Sanger city,"24,298","24,444","24,504","24,575","24,661","24,802","24,944","25,065","25,256","25,339","26,624","26,721","26,600"
San Jacinto city,"44,417","44,953","45,364","45,829","46,231","46,645","47,319","48,088","48,734","49,215","54,064","55,287","55,470"
San Joaquin city,"3,995","3,993","3,996","4,005","4,004","4,013","4,020","4,026","4,022","4,021","3,698","3,689","3,704"
San Jose city,"954,940","970,369","983,530","1,001,279","1,014,273","1,025,980","1,030,242","1,032,335","1,028,020","1,021,795","1,009,830","981,466","971,233"
San Juan Bautista city,"1,850","1,861","1,879","1,897","1,906","1,926","1,956","1,964","1,954","2,104","2,091","2,141","2,124"
San Juan Capistrano city,"34,483","34,862","35,096","35,525","35,779","35,935","35,941","35,882","35,902","35,911","35,180","34,940","34,548"
San Leandro city,"85,119","85,921","86,976","88,074","89,195","90,538","90,706","90,418","89,713","88,815","90,707","88,440","86,762"
San Luis Obispo city,"45,156","45,346","45,728","46,236","46,478","47,016","47,313","47,344","47,300","47,459","47,152","47,633","48,341"
San Marcos city,"83,926","85,001","86,816","89,423","92,372","93,199","94,932","95,614","96,480","96,664","94,900","93,756","94,854"
San Marino city,"13,104","13,155","13,192","13,235","13,263","13,308","13,291","13,244","13,137","13,048","12,476","12,240","12,039"
San Mateo city,"97,383","98,518","99,816","101,323","102,695","103,509","104,357","104,389","104,885","104,430","105,327","102,400","100,984"
San Pablo city,"29,474","29,517","29,800","30,083","30,365","30,724","30,999","31,077","31,100","30,990","32,078","31,847","31,389"
San Rafael city,"57,797","58,232","58,448","58,995","59,130","59,074","58,918","58,801","58,704","58,440","61,130","60,814","59,971"
San Ramon city,"71,585","72,174","72,850","73,560","74,329","75,138","75,703","75,795","75,851","75,995","86,616","87,023","85,953"
Santa Ana city,"325,327","328,227","330,550","333,716","333,431","333,417","333,765","332,627","331,912","332,318","309,921","308,771","308,189"
Santa Barbara city,"88,468","88,605","89,285","90,082","90,815","91,275","91,518","91,517","91,203","91,364","88,676","88,316","87,533"
Santa Clara city,"116,761","117,836","119,337","120,486","121,967","126,024","126,429","126,709","129,085","130,365","127,894","127,958","126,930"
Santa Clarita city,"208,822","209,843","210,672","211,376","212,283","213,184","213,526","213,734","213,549","212,979","228,065","224,320","221,345"
Santa Cruz city,"60,578","61,434","61,954","62,731","63,172","64,082","64,396","64,815","64,643","64,608","62,885","54,941","61,800"
Santa Fe Springs city,"16,255","16,493","16,711","16,983","17,359","17,859","17,955","17,866","17,774","17,630","19,149","18,755","18,439"
Santa Maria city,"99,689","100,293","101,116","102,057","103,021","104,462","105,811","106,298","107,218","107,263","109,742","109,647","110,125"
Santa Monica city,"89,759","90,476","91,327","92,050","92,087","92,422","92,176","91,747","91,106","90,401","92,803","91,250","89,947"
Santa Paula city,"29,325","29,754","29,919","30,099","30,348","30,336","30,243","30,143","29,930","29,806","30,646","30,763","31,018"
Santa Rosa city,"175,238","176,243","177,093","178,684","180,585","181,485","181,909","181,596","176,750","176,753","177,835","177,149","177,181"
Santee city,"53,640","54,523","55,381","56,151","56,828","57,471","57,678","57,825","57,944","58,081","59,952","59,296","59,051"
Saratoga city,"30,078","30,353","30,685","30,957","31,008","30,977","30,945","30,818","30,535","30,153","30,941","30,132","29,903"
Sausalito city,"6,959","7,018","7,047","7,115","7,159","7,157","7,136","7,108","7,101","7,068","7,252","7,219","7,095"
Scotts Valley city,"11,581","11,621","11,653","11,743","11,828","11,907","11,910","11,891","11,817","11,757","12,235","12,215","12,073"
Seal Beach city,"24,109","24,320","24,456","24,537","24,506","24,475","24,400","24,209","24,050","23,896","25,183","24,921","24,627"
Seaside city,"33,094","33,329","33,731","33,929","33,945","34,255","34,198","33,872","33,782","33,748","32,323","32,074","31,478"
Sebastopol city,"7,474","7,537","7,584","7,656","7,706","7,731","7,742","7,716","7,833","7,674","7,521","7,477","7,338"
Selma city,"23,459","23,570","23,886","24,259","24,325","24,440","24,683","24,695","24,758","24,825","24,658","24,635","24,430"
Shafter city,"17,160","17,440","17,194","17,273","17,612","18,367","18,985","19,472","19,998","20,401","20,023","20,113","21,282"
Shasta Lake city,"10,145","10,101","10,097","10,108","10,112","10,094","10,107","10,165","10,236","10,413","10,371","10,407","10,335"
Sierra Madre city,"10,917","10,959","10,995","11,028","11,056","11,065","11,022","10,968","10,879","10,793","11,238","11,005","10,809"
Signal Hill city,"11,018","11,058","11,142","11,288","11,420","11,466","11,602","11,551","11,516","11,421","11,809","11,559","11,381"
Simi Valley city,"124,463","125,019","125,274","125,868","126,239","126,123","125,958","126,107","125,438","125,613","126,335","126,053","124,398"
Solana Beach city,"12,898","13,013","13,112","13,219","13,283","13,374","13,400","13,377","13,339","13,296","12,931","12,854","12,802"
Soledad city,"26,027","26,391","26,459","25,772","25,239","24,882","25,594","26,154","25,968","25,999","24,692","24,702","24,190"
Solvang city,"5,236","5,259","5,306","5,355","5,468","5,680","5,749","5,865","5,861","5,838","6,117","6,058","5,986"
Sonoma city,"10,668","10,707","10,805","10,872","10,968","11,009","11,047","11,070","11,227","11,024","10,719","10,669","10,466"
Sonora city,"4,899","4,867","4,819","4,814","4,807","4,812","4,820","4,835","4,859","4,864","5,000","5,008","4,956"
South El Monte city,"20,100","20,187","20,261","20,341","20,351","20,688","20,818","20,865","20,729","20,574","19,612","19,557","19,602"
South Gate city,"94,434","94,591","94,577","94,674","94,741","95,597","95,245","94,848","94,135","93,444","92,434","91,012","90,926"
South Lake Tahoe city,"21,410","21,376","21,292","21,360","21,512","21,722","21,761","21,943","22,052","22,197","21,296","21,423","21,175"
South Pasadena city,"25,607","25,701","25,798","25,872","25,897","25,914","25,826","25,707","25,530","25,329","26,851","26,285","25,850"
South San Francisco city,"63,701","64,448","65,581","66,237","66,813","67,221","67,220","67,180","67,617","67,789","66,124","64,361","63,484"
Stanton city,"37,900","38,231","38,374","38,550","38,504","38,655","38,627","38,382","38,172","38,139","37,938","38,025","38,952"
Stockton city,"292,888","295,363","297,045","297,493","301,062","304,550","307,158","310,143","311,628","312,697","321,023","322,607","321,819"
Suisun City city,"28,098","28,267","28,463","28,670","29,064","29,265","29,362","29,477","29,660","29,663","29,470","29,243","28,949"
Sunnyvale city,"140,462","143,805","146,436","148,055","149,769","151,630","153,544","153,217","152,807","152,703","155,264","152,030","153,091"
Susanville city,"17,725","17,273","16,606","15,519","15,505","15,209","14,786","15,239","15,102","15,010","16,426","15,419","13,707"
Sutter Creek city,"2,519","2,501","2,479","2,469","2,480","2,503","2,533","2,572","2,614","2,622","2,654","2,699","2,705"
Taft city,"9,285","9,285","8,922","8,926","8,887","9,466","9,357","9,386","9,381","9,272","7,466","7,048","7,034"
Tehachapi city,"14,367","14,332","13,827","13,289","13,227","13,004","12,471","12,565","12,399","13,011","12,990","12,311","12,389"
Tehama city,419,418,417,415,414,417,418,421,422,373,426,423,423
Temecula city,"100,703","102,640","104,295","106,073","108,671","111,140","112,402","113,987","114,614","114,761","110,013","110,810","111,752"
Temple City city,"35,556","35,721","35,860","35,910","35,922","36,059","36,250","36,152","36,008","35,811","36,400","35,749","35,296"
Thousand Oaks city,"126,732","127,325","127,657","128,224","128,636","128,632","128,480","128,229","127,279","126,813","126,770","126,001","124,265"
Tiburon town,"8,957","9,033","9,072","9,161","9,194","9,190","9,158","9,126","9,121","9,084","9,129","9,092","8,938"
Torrance city,"145,154","145,769","146,257","146,671","146,845","146,950","146,416","145,781","144,706","143,592","146,589","143,509","141,126"
Tracy city,"83,620","84,302","84,727","84,872","85,713","86,953","89,181","90,701","91,818","94,740","93,413","95,252","97,328"
Trinidad city,369,368,363,361,358,357,361,361,360,355,337,336,332
Truckee town,"16,167","16,151","16,083","16,085","16,238","16,266","16,350","16,482","16,537","16,735","16,735","17,038","16,850"
Tulare city,"59,432","59,789","60,625","60,905","61,444","61,915","62,538","63,486","64,274","65,496","69,255","70,788","70,693"
Tulelake city,"1,009","1,003",993,985,986,987,986,986,982,978,900,901,889
Turlock city,"68,848","69,251","69,719","70,261","70,868","71,776","72,578","73,241","73,396","73,631","72,694","72,216","72,309"
Tustin city,"75,472","76,227","77,575","78,122","80,138","80,088","80,245","80,121","79,578","79,348","79,896","79,346","78,418"
Twentynine Palms city,"25,101","25,362","25,607","25,686","25,751","25,871","25,941","26,478","26,371","26,073","28,079","28,345","28,158"
Ukiah city,"16,024","15,919","15,909","15,854","15,873","15,831","15,828","15,956","16,151","15,995","16,576","16,433","16,144"
Union City city,"69,630","70,597","71,642","72,552","73,481","74,343","75,465","75,227","74,560","74,107","69,985","68,363","67,039"
Upland city,"73,884","74,465","74,933","75,188","75,542","75,970","76,374","76,778","76,833","77,140","79,120","79,265","78,841"
Vacaville city,"92,557","93,225","93,660","94,023","95,394","96,224","97,994","99,604","99,949","100,670","101,806","101,447","101,918"
Vallejo city,"116,137","116,709","117,599","118,550","119,602","120,477","120,949","121,546","121,677","121,692","125,886","124,773","123,564"
Vernon city,112,112,113,113,113,113,113,112,111,110,220,215,212
Victorville city,"116,278","117,891","119,831","120,697","121,087","121,442","121,725","121,988","121,952","122,385","134,632","135,921","137,221"
Villa Park city,"5,830","5,882","5,913","5,940","5,933","5,928","5,907","5,867","5,823","5,790","5,826","5,767","5,731"
Visalia city,"124,869","125,649","126,420","127,309","128,482","129,369","130,662","132,388","133,428","134,605","141,859","142,795","143,966"
Vista city,"93,401","94,355","95,307","96,211","96,999","99,623","100,746","100,740","100,784","101,638","98,390","98,563","97,766"
Walnut city,"29,203","29,471","29,842","29,919","29,940","29,990","29,925","30,015","29,910","29,685","28,347","27,776","27,356"
Walnut Creek city,"64,314","64,827","65,529","66,812","67,500","68,747","69,235","69,645","69,843","70,166","70,039","69,863","68,969"
Wasco city,"25,683","25,845","25,471","25,909","26,201","26,161","26,322","26,855","27,915","28,710","25,592","26,891","27,731"
Waterford city,"8,468","8,498","8,541","8,579","8,679","8,744","8,823","8,898","8,936","8,962","9,136","9,160","9,335"
Watsonville city,"51,278","51,593","51,887","52,412","52,959","53,528","53,774","53,919","53,875","53,856","52,506","52,017","51,525"
Weed city,"2,981","2,980","2,938","2,884","2,712","2,542","2,643","2,705","2,695","2,725","2,857","2,801","2,811"
West Covina city,"106,123","106,721","107,082","107,348","107,447","107,540","107,437","106,942","105,964","105,101","109,129","106,868","105,013"
West Hollywood city,"34,359","34,501","34,631","35,101","35,475","35,856","36,510","36,796","36,687","36,475","35,636","34,889","34,514"
